date,num
07,70
27,55
28,61
29,18
30,37
31,39
01,78
02,32
03,40
04,78
21,96
22,29
23,96
24,54
25,54
26,45
27,66
28,97
16,60
17,77
18,18
19,51
20,44
21,66
22,99
23,17
24,68
12,31
13,40
14,94
15,58
16,60
17,35
18,37
19,32
20,26
04,42
05,9
06,25
07,6
08,6
09,91
10,80
11,89
12,37
03,38
04,37
05,99
06,34
07,55
08,0
09,24
10,4
05,23
06,59
07,87
08,23
09,36
10,27
11,96
12,80
29,37
30,52
31,13
01,25
02,29
03,95
04,98
05,32
05,56
06,45
07,69
08,23
09,2
10,21
11,22
12,47
13,29
09,15
10,39
11,48
12,50
13,18
14,74
15,98
16,66
17,43
25,60
26,17
27,94
28,67
29,63
30,2
31,70
01,22
17,88
18,16
19,89
20,53
21,44
22,40
23,51
24,90
12,52
13,94
14,51
15,44
16,41
17,54
18,68
19,68
20,36
08,64
09,1
10,0
11,5
12,67
13,51
14,27
15,23
16,92
05,84
06,20
07,95
08,84
09,27
10,2
11,66
12,29
13,82
29,14
30,22
31,70
01,33
02,18
03,6
04,11
05,98
06,41
07,39
25,66
26,30
27,82
28,95
29,42
30,8
01,22
02,26
03,59
04,10
21,24
22,71
23,21
24,53
25,17
26,99
27,86
28,4
29,84
13,65
14,56
15,1
16,6
17,37
18,92
19,25
20,73
21,82
11,93
12,19
13,39
14,38
15,1
16,85
17,49
13,45
14,95
15,78
16,65
17,26
18,48
19,44
20,13
06,36
07,34
08,79
09,35
10,73
11,86
12,43
13,53
14,14
14,71
15,25
16,31
17,64
18,38
19,82
20,71
21,21
22,35
18,46
19,27
20,79
21,96
22,99
23,43
24,50
25,32
26,45
02,14
03,8
04,67
05,46
06,47
07,27
08,26
09,51
10,5
25,34
26,28
27,23
28,99
29,65
30,85
31,39
01,35
02,13
21,8
22,0
23,0
24,38
25,79
26,35
27,73
28,31
17,55
18,94
19,54
20,15
21,55
22,26
23,25
24,36
25,90
14,31
15,48
16,22
17,67
18,91
19,39
20,36
21,63
22,20
08,79
09,60
10,89
11,51
12,52
13,85
14,39
15,39
05,58
06,54
07,94
08,70
09,37
10,59
11,13
12,66
13,50
30,50
31,95
01,27
02,21
03,61
04,27
05,19
06,3
07,93
22,15
23,71
24,60
25,40
26,60
27,23
28,69
29,81
30,17
18,22
19,48
20,16
21,99
22,28
23,92
24,91
25,94
21,95
22,19
23,80
24,21
25,50
26,79
27,9
28,80
29,3
30,21
15,15
16,73
17,74
18,5
19,77
20,75
21,23
22,5
23,99
23,66
24,50
25,16
26,43
